step,reward,portfolio_value,capital,positions_count,tier,tier_allocation_frac,tier_max_positions,tier_reward_pos_mult,tier_reward_neg_mult
0,0.0,100.0,100.0,0,100,0.4,2,1.5,1.2
1,-0.001,100.0,100.0,0,100,0.4,2,1.5,1.2
2,-0.0024009809156267663,99.86,59.86,1,0,0.5,1,1.0,1.0
3,-0.0024029464171046455,99.72,99.72,0,0,0.5,1,1.0,1.0
4,-0.001,99.72,99.72,0,0,0.5,1,1.0,1.0
5,-0.001,99.72,99.72,0,0,0.5,1,1.0,1.0
6,-0.001,99.72,99.72,0,0,0.5,1,1.0,1.0
7,-0.001,99.72,99.72,0,0,0.5,1,1.0,1.0
8,-0.001,99.72,99.72,0,0,0.5,1,1.0,1.0
