step,reward,portfolio_value,capital,positions_count,tier,tier_allocation_frac,tier_max_positions,tier_reward_pos_mult,tier_reward_neg_mult
0,0.0,15.0,15.0,0,0,0.5,1,1.0,1.0
1,-0.001,100.0,100.0,0,100,0.4,2,1.5,1.2
2,-0.001,100.0,100.0,0,100,0.4,2,1.5,1.2
3,-0.001,100.0,100.0,0,100,0.4,2,1.5,1.2
4,-0.001,100.0,100.0,0,100,0.4,2,1.5,1.2
5,-0.001,100.0,100.0,0,100,0.4,2,1.5,1.2
